CASEID,JUDGE1,JUDGE1AUTH,JUDGE1DISS,JUDGE1COAUTH1,JUDGE1COAUTH2,JUDGE1COAUTH3,JUDGE1COAUTH4,JUDGE1COAUTH5,JUDGE1COAUTH6,JUDGE1COAUTH7,JUDGE1COAUTH8,JUDGE1AGREE1,JUDGE1AGREE2,JUDGE1AGREE3,JUDGE1AGREE4,JUDGE1AGREE5,JUDGE1AGREE6,JUDGE1AGREE7,JUDGE1AGREE8,JUDGE1BEGINPG,JUDGE1ENDPG,JUDGE2,JUDGE2AUTH,JUDGE2DISS,JUDGE2COAUTH1,JUDGE2COAUTH2,JUDGE2COAUTH3,JUDGE2COAUTH4,JUDGE2COAUTH5,JUDGE2COAUTH6,JUDGE2COAUTH7,JUDGE2COAUTH8,JUDGE2AGREE1,JUDGE2AGREE2,JUDGE2AGREE3,JUDGE2AGREE4,JUDGE2AGREE5,JUDGE2AGREE6,JUDGE2AGREE7,JUDGE2AGREE8,JUDGE2BEGINPG,JUDGE2ENDPG,JUDGE3,JUDGE3AUTH,JUDGE3DISS,JUDGE3COAUTH1,JUDGE3COAUTH2,JUDGE3COAUTH3,JUDGE3COAUTH4,JUDGE3COAUTH5,JUDGE3COAUTH6,JUDGE3COAUTH7,JUDGE3COAUTH8,JUDGE3AGREE1,JUDGE3AGREE2,JUDGE3AGREE3,JUDGE3AGREE4,JUDGE3AGREE5,JUDGE3AGREE6,JUDGE3AGREE7,JUDGE3AGREE8,JUDGE3BEGINPG,JUDGE3ENDPG,JUDGE4,JUDGE4AUTH,JUDGE4DISS,JUDGE4COAUTH1,JUDGE4COAUTH2,JUDGE4COAUTH3,JUDGE4COAUTH4,JUDGE4COAUTH5,JUDGE4COAUTH6,JUDGE4COAUTH7,JUDGE4COAUTH8,JUDGE4AGREE1,JUDGE4AGREE2,JUDGE4AGREE3,JUDGE4AGREE4,JUDGE4AGREE5,JUDGE4AGREE6,JUDGE4AGREE7,JUDGE4AGREE8,JUDGE4BEGINPG,JUDGE4ENDPG,JUDGE5,JUDGE5AUTH,JUDGE5DISS,JUDGE5COAUTH1,JUDGE5COAUTH2,JUDGE5COAUTH3,JUDGE5COAUTH4,JUDGE5COAUTH5,JUDGE5COAUTH6,JUDGE5COAUTH7,JUDGE5COAUTH8,JUDGE5AGREE1,JUDGE5AGREE2,JUDGE5AGREE3,JUDGE5AGREE4,JUDGE5AGREE5,JUDGE5AGREE6,JUDGE5AGREE7,JUDGE5AGREE8,JUDGE5BEGINPG,JUDGE5ENDPG,JUDGE6,JUDGE6AUTH,JUDGE6DISS,JUDGE6COAUTH1,JUDGE6COAUTH2,JUDGE6COAUTH3,JUDGE6COAUTH4,JUDGE6COAUTH5,JUDGE6COAUTH6,JUDGE6COAUTH7,JUDGE6COAUTH8,JUDGE6AGREE1,JUDGE6AGREE2,JUDGE6AGREE3,JUDGE6AGREE4,JUDGE6AGREE5,JUDGE6AGREE6,JUDGE6AGREE7,JUDGE6AGREE8,JUDGE6BEGINPG,JUDGE6ENDPG,JUDGE7,JUDGE7AUTH,JUDGE7DISS,JUDGE7COAUTH1,JUDGE7COAUTH2,JUDGE7COAUTH3,JUDGE7COAUTH4,JUDGE7COAUTH5,JUDGE7COAUTH6,JUDGE7COAUTH7,JUDGE7COAUTH8,JUDGE7AGREE1,JUDGE7AGREE2,JUDGE7AGREE3,JUDGE7AGREE4,JUDGE7AGREE5,JUDGE7AGREE6,JUDGE7AGREE7,JUDGE7AGREE8,JUDGE7BEGINPG,JUDGE7ENDPG,JUDGE8,JUDGE8AUTH,JUDGE8DISS,JUDGE8COAUTH1,JUDGE8COAUTH2,JUDGE8COAUTH3,JUDGE8COAUTH4,JUDGE8COAUTH5,JUDGE8COAUTH6,JUDGE8COAUTH7,JUDGE8COAUTH8,JUDGE8AGREE1,JUDGE8AGREE2,JUDGE8AGREE3,JUDGE8AGREE4,JUDGE8AGREE5,JUDGE8AGREE6,JUDGE8AGREE7,JUDGE8AGREE8,JUDGE8BEGINPG,JUDGE8ENDPG,JUDGE9,JUDGE9AUTH,JUDGE9DISS,JUDGE9COAUTH1,JUDGE9COAUTH2,JUDGE9COAUTH3,JUDGE9COAUTH4,JUDGE9COAUTH5,JUDGE9COAUTH6,JUDGE9COAUTH7,JUDGE9COAUTH8,JUDGE9AGREE1,JUDGE9AGREE2,JUDGE9AGREE3,JUDGE9AGREE4,JUDGE9AGREE5,JUDGE9AGREE6,JUDGE9AGREE7,JUDGE9AGREE8,JUDGE9BEGINPG,JUDGE9ENDPG,JUDGE10,JUDGE10AUTH,JUDGE10DISS,JUDGE10COAUTH1,JUDGE10COAUTH2,JUDGE10COAUTH3,JUDGE10COAUTH4,JUDGE10COAUTH5,JUDGE10COAUTH6,JUDGE10COAUTH7,JUDGE10COAUTH8,JUDGE10AGREE1,JUDGE10AGREE2,JUDGE10AGREE3,JUDGE10AGREE4,JUDGE10AGREE5,JUDGE10AGREE6,JUDGE10AGREE7,JUDGE10AGREE8,JUDGE10BEGINPG,JUDGE10ENDPG,JUDGE11,JUDGE11AUTH,JUDGE11DISS,JUDGE11COAUTH1,JUDGE11COAUTH2,JUDGE11COAUTH3,JUDGE11COAUTH4,JUDGE11COAUTH5,JUDGE11COAUTH6,JUDGE11COAUTH7,JUDGE11COAUTH8,JUDGE11AGREE1,JUDGE11AGREE2,JUDGE11AGREE3,JUDGE11AGREE4,JUDGE11AGREE5,JUDGE11AGREE6,JUDGE11AGREE7,JUDGE11AGREE8,JUDGE11BEGINPG,JUDGE11ENDPG
UKSC 2013/0064,13,Yes,C,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,8,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,15,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,19,Yes,C,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2013/0134,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0093,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,15,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,19,No,C,NA,NA,NA,NA,NA,NA,NA,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2011/0196,13,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,15,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22,16,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,24,17,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28,18,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0124,13,Yes,C,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,104,NA,NA,NA,NA,NA,NA,NA,NA,2,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,104,NA,NA,NA,NA,NA,NA,NA,NA,8,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,104,NA,NA,NA,NA,NA,NA,NA,NA,104,Yes,C,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,104,NA,NA,NA,NA,NA,NA,NA,NA,16,No,C,NA,NA,NA,NA,NA,NA,NA,NA,13,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0151,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,48,2,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,8,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,43,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,11,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,15,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,63,18,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0160,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,48,2,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,8,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,43,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,11,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,15,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,63,18,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0129,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,No,C,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,17,No,C,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2011/0146,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2011/0221,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2011/0147,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2013/0106,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,2,26,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,40,19,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0087,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,No,C,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0112,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,18,No,C,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0014,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,11,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,No,C,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2011/0240,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,8,No,C,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,NA,NA,NA,18,Yes,C,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,19,Yes,C,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0126,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,10,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,No,C,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKSC 2012/0069,13,No,C,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,14,No,C,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,No,C,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,Yes,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
